0xa0 @s@s             NO-BREAK SPACE
0x242 qq             ɂ LATIN SMALL LETTER GLOTTAL STOP
0x243 B-             Ƀ LATIN CAPITAL LETTER B WITH STROKE
0x244 U-             Ʉ LATIN CAPITAL LETTER U BAR
0x245 VV             Ʌ LATIN CAPITAL LETTER TURNED V
0x245 \V             Ʌ LATIN CAPITAL LETTER TURNED V
0x246 E/             Ɇ LATIN CAPITAL LETTER E WITH STROKE
0x247 e/             ɇ LATIN SMALL LETTER E WITH STROKE
0x248 J-             Ɉ LATIN CAPITAL LETTER J WITH STROKE
0x249 j-             ɉ LATIN SMALL LETTER J WITH STROKE
0x24c R-             Ɍ LATIN CAPITAL LETTER R WITH STROKE
0x24d r-             ɍ LATIN SMALL LETTER R WITH STROKE
0x24e Y-             Ɏ LATIN CAPITAL LETTER Y WITH STROKE
0x24f y-             ɏ LATIN SMALL LETTER Y WITH STROKE
0x250 aa             ɐ LATIN SMALL LETTER TURNED A
0x250 \a             ɐ LATIN SMALL LETTER TURNED A
0x251 ah             ɑ LATIN SMALL LETTER ALPHA
0x252 ao             ɒ LATIN SMALL LETTER TURNED ALPHA
0x252 \@@ah          ɒ LATIN SMALL LETTER TURNED ALPHA
0x253 b<             ɓ LATIN SMALL LETTER B WITH HOOK
0x254 oa             ɔ LATIN SMALL LETTER OPEN O
0x255 cc             ɕ LATIN SMALL LETTER C WITH CURL
0x256 rd             ɖ LATIN SMALL LETTER D WITH TAIL
0x257 d<             ɗ LATIN SMALL LETTER D WITH HOOK
0x258 /e             ɘ LATIN SMALL LETTER REVERSED E
0x259 ee             ə LATIN SMALL LETTER SCHWA
0x25a er             ɚ LATIN SMALL LETTER SCHWA WITH HOOK
0x25b ea             ɛ LATIN SMALL LETTER OPEN E
0x25c 33             ɜ LATIN SMALL LETTER REVERSED OPEN E
0x25d 3r             ɝ LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
0x25e 3o             ɞ LATIN SMALL LETTER CLOSED REVERSED OPEN E
0x25e @@bean         ɞ LATIN SMALL LETTER CLOSED REVERSED OPEN E
0x25f gj             ɟ LATIN SMALL LETTER DOTLESS J WITH STROKE
0x25f dj             ɟ LATIN SMALL LETTER DOTLESS J WITH STROKE
0x260 g<             ɠ LATIN SMALL LETTER G WITH HOOK
0x261 gg             ɡ LATIN SMALL LETTER SCRIPT G
0x262 ;g             ɢ LATIN LETTER SMALL CAPITAL G
0x263 gh             ɣ LATIN SMALL LETTER GAMMA
0x264 oi             ɤ LATIN SMALL LETTER RAMS HORN
0x265 wy             ɥ LATIN SMALL LETTER TURNED H
0x265 \h             ɥ LATIN SMALL LETTER TURNED H
0x266 hh             ɦ LATIN SMALL LETTER H WITH HOOK
0x267 sj             ɧ LATIN SMALL LETTER HENG WITH HOOK
0x268 11             ɨ LATIN SMALL LETTER I WITH STROKE
0x268 i-             ɨ LATIN SMALL LETTER I WITH STROKE
0x269 li             ɩ LATIN SMALL LETTER IOTA
0x26a ii             ɪ LATIN LETTER SMALL CAPITAL I
0x26a ;i             ɪ LATIN LETTER SMALL CAPITAL I
0x26b 55             ɫ LATIN SMALL LETTER L WITH MIDDLE TILDE
0x26b l~             ɫ LATIN SMALL LETTER L WITH MIDDLE TILDE
0x26c lh             ɬ LATIN SMALL LETTER L WITH BELT
0x26d rl             ɭ LATIN SMALL LETTER L WITH RETROFLEX HOOK
0x26e ll             ɮ LATIN SMALL LETTER LEZH
0x26f ui             ɯ LATIN SMALL LETTER TURNED M
0x270 ww             ɰ LATIN SMALL LETTER TURNED M WITH LONG LEG
0x271 mv             ɱ LATIN SMALL LETTER M WITH HOOK
0x272 nj             ɲ LATIN SMALL LETTER N WITH LEFT HOOK
0x273 rn             ɳ LATIN SMALL LETTER N WITH RETROFLEX HOOK
0x274 ;n             ɴ LATIN LETTER SMALL CAPITAL N
0x275 88             ɵ LATIN SMALL LETTER BARRED O
0x275 o-             ɵ LATIN SMALL LETTER BARRED O
0x276 &&             ɶ LATIN LETTER SMALL CAPITAL OE
0x276 ;@@oe          ɶ LATIN LETTER SMALL CAPITAL OE
0x277 lco            ɷ LATIN SMALL LETTER CLOSED OMEGA
0x278 ff             ɸ LATIN SMALL LETTER PHI
0x279 zr             ɹ LATIN SMALL LETTER TURNED R
0x279 \r             ɹ LATIN SMALL LETTER TURNED R
0x27a lr             ɺ LATIN SMALL LETTER TURNED R WITH LONG LEG
0x27b rr             ɻ LATIN SMALL LETTER TURNED R WITH HOOK
0x27c |r             ɼ LATIN SMALL LETTER R WITH LONG LEG
0x27d r4             ɽ LATIN SMALL LETTER R WITH TAIL
0x27e 44             ɾ LATIN SMALL LETTER R WITH FISHHOOK
0x27f sr             ɿ LATIN SMALL LETTER REVERSED R WITH FISHHOOK
0x280 ;r             ʀ LATIN LETTER SMALL CAPITAL R
0x281 rq             ʁ LATIN LETTER SMALL CAPITAL INVERTED R
0x282 rs             ʂ LATIN SMALL LETTER S WITH HOOK
0x283 sh             ʃ LATIN SMALL LETTER ESH
0x284 j<             ʄ LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
0x285 s@@rr          ʅ LATIN SMALL LETTER SQUAT REVERSED ESH
0x286 c@@sh          ʆ LATIN SMALL LETTER ESH WITH CURL
0x287 \t             ʇ LATIN SMALL LETTER TURNED T
0x287 @<c            ʇ LATIN SMALL LETTER TURNED T
0x288 rt             ʈ LATIN SMALL LETTER T WITH RETROFLEX HOOK
0x289 u-             ʉ LATIN SMALL LETTER U BAR
0x28a uu             ʊ LATIN SMALL LETTER UPSILON
0x28b vw             ʋ LATIN SMALL LETTER V WITH HOOK
0x28c \v             ʌ LATIN SMALL LETTER TURNED V
0x28c vv             ʌ LATIN SMALL LETTER TURNED V
0x28d \w             ʍ LATIN SMALL LETTER TURNED W
0x28d wh             ʍ LATIN SMALL LETTER TURNED W
0x28e lj             ʎ LATIN SMALL LETTER TURNED Y
0x28e \y             ʎ LATIN SMALL LETTER TURNED Y
0x28f yy             ʏ LATIN LETTER SMALL CAPITAL Y
0x28f ;y             ʏ LATIN LETTER SMALL CAPITAL Y
0x290 rz             ʐ LATIN SMALL LETTER Z WITH RETROFLEX HOOK
0x291 cz             ʑ LATIN SMALL LETTER Z WITH CURL
0x292 zh             ʒ LATIN SMALL LETTER EZH
0x293 c@@zh          ʓ LATIN SMALL LETTER EZH WITH CURL
0x294 ??             ʔ LATIN LETTER GLOTTAL STOP
0x295 rc             ʕ LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0x295 /?             ʕ LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0x296 /\?            ʖ LATIN LETTER INVERTED GLOTTAL STOP
0x296 \/?            ʖ LATIN LETTER INVERTED GLOTTAL STOP
0x296 @<x            ʖ LATIN LETTER INVERTED GLOTTAL STOP
0x297 @<q            ʗ LATIN LETTER STRETCHED C
0x297 |c             ʗ LATIN LETTER STRETCHED C
0x298 @<m            ʘ LATIN LETTER BILABIAL CLICK
0x298 @<@<           ʘ LATIN LETTER BILABIAL CLICK
0x299 ;b             ʙ LATIN LETTER SMALL CAPITAL B
0x29a @@naeb         ʚ LATIN SMALL LETTER CLOSED OPEN E
0x29b ;@@g<          ʛ LATIN LETTER SMALL CAPITAL G WITH HOOK
0x29c ;h             ʜ LATIN LETTER SMALL CAPITAL H
0x29d jh             ʝ LATIN SMALL LETTER J WITH CROSSED-TAIL
0x29e \k             ʞ LATIN SMALL LETTER TURNED K
0x29f ;l             ʟ LATIN LETTER SMALL CAPITAL L
0x2a0 q<             ʠ LATIN SMALL LETTER Q WITH HOOK
0x2a1 ?-             ʡ LATIN LETTER GLOTTAL STOP WITH STROKE
0x2a2 /@@?-          ʢ LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
0x2a3 dz             ʣ LATIN SMALL LETTER DZ DIGRAPH
0x2a4 d@@zh          ʤ LATIN SMALL LETTER DEZH DIGRAPH
0x2a5 d@@cz          ʥ LATIN SMALL LETTER DZ DIGRAPH WITH CURL
0x2a6 ts             ʦ LATIN SMALL LETTER TS DIGRAPH
0x2a7 t@@sh          ʧ LATIN SMALL LETTER TESH DIGRAPH
0x2a8 t@@cc          ʨ LATIN SMALL LETTER TC DIGRAPH WITH CURL
0x2a9 f@@ng          ʩ LATIN SMALL LETTER FENG DIGRAPH
0x2aa ls             ʪ LATIN SMALL LETTER LS DIGRAPH
0x2ab lz             ʫ LATIN SMALL LETTER LZ DIGRAPH
0x2ac w+w            ʬ LATIN LETTER BILABIAL PERCUSSIVE
0x2ad [+[            ʭ LATIN LETTER BIDENTAL PERCUSSIVE
0x2ad ]+]            ʭ LATIN LETTER BIDENTAL PERCUSSIVE
0x2ae swr            ʮ LATIN SMALL LETTER TURNED H WITH FISHHOOK
0x2af sw@@rr         ʯ LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
0x2b0 @sh            ʰ MODIFIER LETTER SMALL H
0x2b1 @s@@hh         ʱ MODIFIER LETTER SMALL H WITH HOOK
0x2b2 @sj            ʲ MODIFIER LETTER SMALL J
0x2b3 @sr            ʳ MODIFIER LETTER SMALL R
0x2b4 @s@@zr         ʴ MODIFIER LETTER SMALL TURNED R
0x2b4 @s@@\r         ʴ MODIFIER LETTER SMALL TURNED R
0x2b5 @s@@rr         ʵ MODIFIER LETTER SMALL TURNED R WITH HOOK
0x2b6 @s@@rq         ʶ MODIFIER LETTER SMALL CAPITAL INVERTED R
0x2b7 @sw            ʷ MODIFIER LETTER SMALL W
0x2b8 @sy            ʸ MODIFIER LETTER SMALL Y
0x2bb @s\'           ʻ MODIFIER LETTER TURNED COMMA
0x2bb ok             ʻ MODIFIER LETTER TURNED COMMA
0x2bc @s'            ʼ MODIFIER LETTER APOSTROPHE
0x2be @s)            ʾ MODIFIER LETTER RIGHT HALF RING
0x2bf @s(            ʿ MODIFIER LETTER LEFT HALF RING
0x2c0 @s?            ˀ MODIFIER LETTER GLOTTAL STOP
0x2c1 @s@@\qq        ˁ MODIFIER LETTER REVERSED GLOTTAL STOP
0x2c6 @s^            ˆ MODIFIER LETTER CIRCUMFLEX ACCENT
0x2c7 v@s            ˇ CARON
0x2c8 ''             ˈ MODIFIER LETTER VERTICAL LINE
0x2c9 @s-            ˉ MODIFIER LETTER MACRON
0x2ca @s/            ˊ MODIFIER LETTER ACUTE ACCENT
0x2cb @s`            ˋ MODIFIER LETTER GRAVE ACCENT
0x2cc ,,             ˌ MODIFIER LETTER LOW VERTICAL LINE
0x2cd @s@@_-         ˍ MODIFIER LETTER LOW MACRON
0x2ce @s@@_`         ˎ MODIFIER LETTER LOW GRAVE ACCENT
0x2cf @s@@_'         ˏ MODIFIER LETTER LOW ACUTE ACCENT
0x2d0 ::             ː MODIFIER LETTER TRIANGULAR COLON
0x2d1 ;;             ˑ MODIFIER LETTER HALF TRIANGULAR COLON
0x2d2 @s@@ro         ˒ MODIFIER LETTER CENTRED RIGHT HALF RING
0x2d3 @s@@op         ˓ MODIFIER LETTER CENTRED LEFT HALF RING
0x2d4 @s@@up         ˔ MODIFIER LETTER UP TACK
0x2d5 @s@@do         ˕ MODIFIER LETTER DOWN TACK
0x2d6 @s@@pl         ˖ MODIFIER LETTER PLUS SIGN
0x2d7 @s@@mi         ˗ MODIFIER LETTER MINUS SIGN
0x2d8 )@s            ˘ BREVE
0x2d9 .@s            ˙ DOT ABOVE
0x2da 0@s            ˚ RING ABOVE
0x2db ,.@s           ˛ OGONEK
0x2dc ~@s            ˜ SMALL TILDE
0x2dd =@s            ˝ DOUBLE ACUTE ACCENT
0x2de =r             ˞ MODIFIER LETTER RHOTIC HOOK
0x2e0 @s@@gh         ˠ MODIFIER LETTER SMALL GAMMA
0x2e1 @sl            ˡ MODIFIER LETTER SMALL L
0x2e2 @ss            ˢ MODIFIER LETTER SMALL S
0x2e3 @sx            ˣ MODIFIER LETTER SMALL X
0x2e4 @s@@rc         ˤ MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
0x2e4 @s@@/?         ˤ MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
0x2e5 t1             ˥ MODIFIER LETTER EXTRA-HIGH TONE BAR
0x2e6 t2             ˦ MODIFIER LETTER HIGH TONE BAR
0x2e7 t3             ˧ MODIFIER LETTER MID TONE BAR
0x2e8 t4             ˨ MODIFIER LETTER LOW TONE BAR
0x2e9 t5             ˩ MODIFIER LETTER EXTRA-LOW TONE BAR
0x2ed @s=            ˭ MODIFIER LETTER UNASPIRATED
0x300 =`             ̀ COMBINING GRAVE ACCENT
0x301 ='             ́ COMBINING ACUTE ACCENT
0x302 =^             ̂ COMBINING CIRCUMFLEX ACCENT
0x303 =~             ̃ COMBINING TILDE
0x304 =-             ̄ COMBINING MACRON
0x305 =_             ̅ COMBINING OVERLINE
0x306 =)             ̆ COMBINING BREVE
0x307 =.             ̇ COMBINING DOT ABOVE
0x308 ="             ̈ COMBINING DIAERESIS
0x309 =?             ̉ COMBINING HOOK ABOVE
0x30a =0             ̊ COMBINING RING ABOVE
0x30b ==             ̋ COMBINING DOUBLE ACUTE ACCENT
0x30c =v             ̌ COMBINING CARON
0x30d =|             ̍ COMBINING VERTICAL LINE ABOVE
0x30e =@@||          ̎ COMBINING DOUBLE VERTICAL LINE ABOVE
0x30f =@@``          ̏ COMBINING DOUBLE GRAVE ACCENT
0x311 =(             ̑ COMBINING INVERTED BREVE
0x312 =@@\,          ̒ COMBINING TURNED COMMA ABOVE
0x313 =,             ̓ COMBINING COMMA ABOVE
0x314 =@@/,          ̔ COMBINING REVERSED COMMA ABOVE
0x316 !`             ̖ COMBINING GRAVE ACCENT BELOW
0x317 !'             ̗ COMBINING ACUTE ACCENT BELOW
0x318 !<             ̘ COMBINING LEFT TACK BELOW
0x319 !>             ̙ COMBINING RIGHT TACK BELOW
0x31a =]             ̚ COMBINING LEFT ANGLE ABOVE
0x31a ur             ̚ COMBINING LEFT ANGLE ABOVE
0x31b =h             ̛ COMBINING HORN
0x31c !@@op          ̜ COMBINING LEFT HALF RING BELOW
0x31d !@@up          ̝ COMBINING UP TACK BELOW
0x31e !@@do          ̞ COMBINING DOWN TACK BELOW
0x31f !@@pl          ̟ COMBINING PLUS SIGN BELOW
0x320 !@@mi          ̠ COMBINING MINUS SIGN BELOW
0x321 !%             ̡ COMBINING PALATALIZED HOOK BELOW
0x322 !r             ̢ COMBINING RETROFLEX HOOK BELOW
0x323 !.             ̣ COMBINING DOT BELOW
0x324 !"             ̤ COMBINING DIAERESIS BELOW
0x325 !0             ̥ COMBINING RING BELOW
0x326 !,             ̦ COMBINING COMMA BELOW
0x329 !|             ̩ COMBINING VERTICAL LINE BELOW
0x32a ![             ̪ COMBINING BRIDGE BELOW
0x32b !w             ̫ COMBINING INVERTED DOUBLE ARCH BELOW
0x32c !v             ̬ COMBINING CARON BELOW
0x32d !^             ̭ COMBINING CIRCUMFLEX ACCENT BELOW
0x32e !)             ̮ COMBINING BREVE BELOW
0x32f !(             ̯ COMBINING INVERTED BREVE BELOW
0x330 !~             ̰ COMBINING TILDE BELOW
0x331 !-             ̱ COMBINING MACRON BELOW
0x332 !_             ̲ COMBINING LOW LINE
0x333 !@@__          ̳ COMBINING DOUBLE LOW LINE
0x339 !@@ro          ̹ COMBINING RIGHT HALF RING BELOW
0x33a !]             ̺ COMBINING INVERTED BRIDGE BELOW
0x33b !#             ̻ COMBINING SQUARE BELOW
0x33c !m             ̼ COMBINING SEAGULL BELOW
0x33d =x             ̽ COMBINING X ABOVE
0x33f =@@__          ̿ COMBINING DOUBLE OVERLINE
0x346 =[             ͆ COMBINING BRIDGE ABOVE
0x347 !=             ͇ COMBINING EQUALS SIGN BELOW
0x348 !@@||          ͈ COMBINING DOUBLE VERTICAL LINE BELOW
0x349 !@@ur          ͉ COMBINING LEFT ANGLE BELOW
0x353 !x             ͓ COMBINING X BELOW
0x359 !*             ͙ COMBINING ASTERISK BELOW
0x35c lt             ͜ COMBINING DOUBLE BREVE BELOW
0x35c !@@))          ͜ COMBINING DOUBLE BREVE BELOW
0x35d =@@))          ͝ COMBINING DOUBLE BREVE
0x35e =@@--          ͞ COMBINING DOUBLE MACRON
0x35f !@@--          ͟ COMBINING DOUBLE MACRON BELOW
0x360 =@@~~          ͠ COMBINING DOUBLE TILDE
0x361 =@@((          ͡ COMBINING DOUBLE INVERTED BREVE
0x361 ht             ͡ COMBINING DOUBLE INVERTED BREVE
0x391 AL             Α GREEK CAPITAL LETTER ALPHA
0x392 BE             Β GREEK CAPITAL LETTER BETA
0x393 GA             Γ GREEK CAPITAL LETTER GAMMA
0x394 DE             Δ GREEK CAPITAL LETTER DELTA
0x395 EP             Ε GREEK CAPITAL LETTER EPSILON
0x396 ZE             Ζ GREEK CAPITAL LETTER ZETA
0x397 ET             Η GREEK CAPITAL LETTER ETA
0x398 TH             Θ GREEK CAPITAL LETTER THETA
0x399 IO             Ι GREEK CAPITAL LETTER IOTA
0x39a KA             Κ GREEK CAPITAL LETTER KAPPA
0x39b LA             Λ GREEK CAPITAL LETTER LAMDA
0x39c MU             Μ GREEK CAPITAL LETTER MU
0x39d NU             Ν GREEK CAPITAL LETTER NU
0x39e XI             Ξ GREEK CAPITAL LETTER XI
0x39f ON             Ο GREEK CAPITAL LETTER OMICRON
0x3a0 PI             Π GREEK CAPITAL LETTER PI
0x3a1 RH             Ρ GREEK CAPITAL LETTER RHO
0x3a3 SI             Σ GREEK CAPITAL LETTER SIGMA
0x3a4 TA             Τ GREEK CAPITAL LETTER TAU
0x3a5 UP             Υ GREEK CAPITAL LETTER UPSILON
0x3a6 PH             Φ GREEK CAPITAL LETTER PHI
0x3a7 CH             Χ GREEK CAPITAL LETTER CHI
0x3a8 PS             Ψ GREEK CAPITAL LETTER PSI
0x3a9 OM             Ω GREEK CAPITAL LETTER OMEGA
0x3b1 al             α GREEK SMALL LETTER ALPHA
0x3b2 be             β GREEK SMALL LETTER BETA
0x3b2 bh             β GREEK SMALL LETTER BETA
0x3b3 ga             γ GREEK SMALL LETTER GAMMA
0x3b4 de             δ GREEK SMALL LETTER DELTA
0x3b5 ep             ε GREEK SMALL LETTER EPSILON
0x3b6 ze             ζ GREEK SMALL LETTER ZETA
0x3b7 et             η GREEK SMALL LETTER ETA
0x3b8 th             θ GREEK SMALL LETTER THETA
0x3b9 io             ι GREEK SMALL LETTER IOTA
0x3ba ka             κ GREEK SMALL LETTER KAPPA
0x3bb la             λ GREEK SMALL LETTER LAMDA
0x3bc mu             μ GREEK SMALL LETTER MU
0x3bd nu             ν GREEK SMALL LETTER NU
0x3be xi             ξ GREEK SMALL LETTER XI
0x3bf on             ο GREEK SMALL LETTER OMICRON
0x3c0 pi             π GREEK SMALL LETTER PI
0x3c1 rh             ρ GREEK SMALL LETTER RHO
0x3c2 sa             ς GREEK SMALL LETTER FINAL SIGMA
0x3c3 si             σ GREEK SMALL LETTER SIGMA
0x3c4 ta             τ GREEK SMALL LETTER TAU
0x3c5 up             υ GREEK SMALL LETTER UPSILON
0x3c6 ph             φ GREEK SMALL LETTER PHI
0x3c7 qh             χ GREEK SMALL LETTER CHI
0x3c7 ch             χ GREEK SMALL LETTER CHI
0x3c8 ps             ψ GREEK SMALL LETTER PSI
0x3c9 om             ω GREEK SMALL LETTER OMEGA
0x1d00 ;a             ᴀ LATIN LETTER SMALL CAPITAL A
0x1d01 ;@@ae          ᴁ LATIN LETTER SMALL CAPITAL AE
0x1d02 \@@ae          ᴂ LATIN SMALL LETTER TURNED AE
0x1d03 ;@@b-          ᴃ LATIN LETTER SMALL CAPITAL BARRED B
0x1d04 ;c             ᴄ LATIN LETTER SMALL CAPITAL C
0x1d05 ;d             ᴅ LATIN LETTER SMALL CAPITAL D
0x1d06 ;@@dh          ᴆ LATIN LETTER SMALL CAPITAL ETH
0x1d07 ;e             ᴇ LATIN LETTER SMALL CAPITAL E
0x1d08 ;@@ea          ᴈ LATIN SMALL LETTER TURNED OPEN E
0x1d09 \i             ᴉ LATIN SMALL LETTER TURNED I
0x1d0a ;j             ᴊ LATIN LETTER SMALL CAPITAL J
0x1d0b ;k             ᴋ LATIN LETTER SMALL CAPITAL K
0x1d0c ;@@l/          ᴌ LATIN LETTER SMALL CAPITAL L WITH STROKE
0x1d0d ;m             ᴍ LATIN LETTER SMALL CAPITAL M
0x1d0e /;n            ᴎ LATIN LETTER SMALL CAPITAL REVERSED N
0x1d0e ;/n            ᴎ LATIN LETTER SMALL CAPITAL REVERSED N
0x1d0f ;o             ᴏ LATIN LETTER SMALL CAPITAL O
0x1d10 ;@@oa          ᴐ LATIN LETTER SMALL CAPITAL OPEN O
0x1d11 \o             ᴑ LATIN SMALL LETTER SIDEWAYS O
0x1d12 \@@oa          ᴒ LATIN SMALL LETTER SIDEWAYS OPEN O
0x1d13 \@@o/          ᴓ LATIN SMALL LETTER SIDEWAYS O WITH STROKE
0x1d14 \@@oe          ᴔ LATIN SMALL LETTER TURNED OE
0x1d15 ;@@ou          ᴕ LATIN LETTER SMALL CAPITAL OU
0x1d18 ;p             ᴘ LATIN LETTER SMALL CAPITAL P
0x1d19 ;/r            ᴙ LATIN LETTER SMALL CAPITAL REVERSED R
0x1d19 /;r            ᴙ LATIN LETTER SMALL CAPITAL REVERSED R
0x1d1a ;\/r           ᴚ LATIN LETTER SMALL CAPITAL TURNED R
0x1d1a ;/\r           ᴚ LATIN LETTER SMALL CAPITAL TURNED R
0x1d1a /\;r           ᴚ LATIN LETTER SMALL CAPITAL TURNED R
0x1d1a \/;r           ᴚ LATIN LETTER SMALL CAPITAL TURNED R
0x1d1b ;t             ᴛ LATIN LETTER SMALL CAPITAL T
0x1d1c ;u             ᴜ LATIN LETTER SMALL CAPITAL U
0x1d1d \u             ᴝ LATIN SMALL LETTER SIDEWAYS U
0x1d1e \"u            ᴞ LATIN SMALL LETTER SIDEWAYS DIAERESIZED U
0x1d1f \m             ᴟ LATIN SMALL LETTER SIDEWAYS TURNED M
0x1d20 ;v             ᴠ LATIN LETTER SMALL CAPITAL V
0x1d21 ;w             ᴡ LATIN LETTER SMALL CAPITAL W
0x1d22 ;z             ᴢ LATIN LETTER SMALL CAPITAL Z
0x1d23 ;@@zh          ᴣ LATIN LETTER SMALL CAPITAL EZH
0x1d2c @sA            ᴬ MODIFIER LETTER CAPITAL A
0x1d2d @s@@AE         ᴭ MODIFIER LETTER CAPITAL AE
0x1d2e @sB            ᴮ MODIFIER LETTER CAPITAL B
0x1d2f @s@@B-         ᴯ MODIFIER LETTER CAPITAL BARRED B
0x1d30 @sD            ᴰ MODIFIER LETTER CAPITAL D
0x1d31 @sE            ᴱ MODIFIER LETTER CAPITAL E
0x1d32 @s@@\E         ᴲ MODIFIER LETTER CAPITAL REVERSED E
0x1d32 @s@@/E         ᴲ MODIFIER LETTER CAPITAL REVERSED E
0x1d33 @sG            ᴳ MODIFIER LETTER CAPITAL G
0x1d34 @sH            ᴴ MODIFIER LETTER CAPITAL H
0x1d35 @sI            ᴵ MODIFIER LETTER CAPITAL I
0x1d36 @sJ            ᴶ MODIFIER LETTER CAPITAL J
0x1d37 @sK            ᴷ MODIFIER LETTER CAPITAL K
0x1d38 @sL            ᴸ MODIFIER LETTER CAPITAL L
0x1d39 @sM            ᴹ MODIFIER LETTER CAPITAL M
0x1d3a @sN            ᴺ MODIFIER LETTER CAPITAL N
0x1d3b @s@@/N         ᴻ MODIFIER LETTER CAPITAL REVERSED N
0x1d3c @sO            ᴼ MODIFIER LETTER CAPITAL O
0x1d3d @s@@OU         ᴽ MODIFIER LETTER CAPITAL OU
0x1d3e @sP            ᴾ MODIFIER LETTER CAPITAL P
0x1d3f @sR            ᴿ MODIFIER LETTER CAPITAL R
0x1d40 @sT            ᵀ MODIFIER LETTER CAPITAL T
0x1d41 @sU            ᵁ MODIFIER LETTER CAPITAL U
0x1d42 @sW            ᵂ MODIFIER LETTER CAPITAL W
0x1d43 @sa            ᵃ MODIFIER LETTER SMALL A
0x1d44 @s@@aa         ᵄ MODIFIER LETTER SMALL TURNED A
0x1d44 @s@@\a         ᵄ MODIFIER LETTER SMALL TURNED A
0x1d45 @s@@ah         ᵅ MODIFIER LETTER SMALL ALPHA
0x1d46 @s@@\@@ae      ᵆ MODIFIER LETTER SMALL TURNED AE
0x1d47 @sb            ᵇ MODIFIER LETTER SMALL B
0x1d48 @sd            ᵈ MODIFIER LETTER SMALL D
0x1d49 @se            ᵉ MODIFIER LETTER SMALL E
0x1d4a @s@@ee         ᵊ MODIFIER LETTER SMALL SCHWA
0x1d4b @s@@ea         ᵋ MODIFIER LETTER SMALL OPEN E
0x1d4d @sg            ᵍ MODIFIER LETTER SMALL G
0x1d4e @s@@\i         ᵎ MODIFIER LETTER SMALL TURNED I
0x1d4f @sk            ᵏ MODIFIER LETTER SMALL K
0x1d50 @sm            ᵐ MODIFIER LETTER SMALL M
0x1d51 @s@@ng         ᵑ MODIFIER LETTER SMALL ENG
0x1d52 @so            ᵒ MODIFIER LETTER SMALL O
0x1d53 @s@@oa         ᵓ MODIFIER LETTER SMALL OPEN O
0x1d56 @sp            ᵖ MODIFIER LETTER SMALL P
0x1d57 @st            ᵗ MODIFIER LETTER SMALL T
0x1d58 @su            ᵘ MODIFIER LETTER SMALL U
0x1d59 @s@@\u         ᵙ MODIFIER LETTER SMALL SIDEWAYS U
0x1d5a @s@@ui         ᵚ MODIFIER LETTER SMALL TURNED M
0x1d5b @sv            ᵛ MODIFIER LETTER SMALL V
0x1d5d @s@@bh         ᵝ MODIFIER LETTER SMALL BETA
0x1d61 @s@@qh         ᵡ MODIFIER LETTER SMALL CHI
0x1d62 *i             ᵢ LATIN SUBSCRIPT SMALL LETTER I
0x1d63 *r             ᵣ LATIN SUBSCRIPT SMALL LETTER R
0x1d64 *u             ᵤ LATIN SUBSCRIPT SMALL LETTER U
0x1d65 *v             ᵥ LATIN SUBSCRIPT SMALL LETTER V
0x1d6c b~             ᵬ LATIN SMALL LETTER B WITH MIDDLE TILDE
0x1d6d d~             ᵭ LATIN SMALL LETTER D WITH MIDDLE TILDE
0x1d6e f~             ᵮ LATIN SMALL LETTER F WITH MIDDLE TILDE
0x1d6f m~             ᵯ LATIN SMALL LETTER M WITH MIDDLE TILDE
0x1d70 n~             ᵰ LATIN SMALL LETTER N WITH MIDDLE TILDE
0x1d71 p~             ᵱ LATIN SMALL LETTER P WITH MIDDLE TILDE
0x1d72 r~             ᵲ LATIN SMALL LETTER R WITH MIDDLE TILDE
0x1d74 s~             ᵴ LATIN SMALL LETTER S WITH MIDDLE TILDE
0x1d75 t~             ᵵ LATIN SMALL LETTER T WITH MIDDLE TILDE
0x1d76 z~             ᵶ LATIN SMALL LETTER Z WITH MIDDLE TILDE
0x1d77 \g             ᵷ LATIN SMALL LETTER TURNED G
0x1d7a t/h            ᵺ LATIN SMALL LETTER TH WITH STRIKETHROUGH
0x1d7b ;@@i-          ᵻ LATIN SMALL CAPITAL LETTER I WITH STROKE
0x1d7d p-             ᵽ LATIN SMALL LETTER P WITH STROKE
0x1d7e ;@@u-          ᵾ LATIN SMALL CAPITAL LETTER U WITH STROKE
0x1d80 %b             ᶀ LATIN SMALL LETTER B WITH PALATAL HOOK
0x1d81 %d             ᶁ LATIN SMALL LETTER D WITH PALATAL HOOK
0x1d82 %f             ᶂ LATIN SMALL LETTER F WITH PALATAL HOOK
0x1d83 %g             ᶃ LATIN SMALL LETTER G WITH PALATAL HOOK
0x1d84 %k             ᶄ LATIN SMALL LETTER K WITH PALATAL HOOK
0x1d85 %l             ᶅ LATIN SMALL LETTER L WITH PALATAL HOOK
0x1d86 %m             ᶆ LATIN SMALL LETTER M WITH PALATAL HOOK
0x1d87 %n             ᶇ LATIN SMALL LETTER N WITH PALATAL HOOK
